"","Author","Commnum"
"1","wong",1103
"2","Webe Free",978
"3","Rick Kooi",764
"4","robert hicks",656
"5","1000frolly PhD",633
"6","SwiftlyTiltingPlanet",604
"7","Ragnaar Minnesota",436
"8","Aanthanur DC",431
"9","jmuld1",416
"10","allgoo19",369
"11","Captain Dumbass",339
"12","Kyle Towers",331
"13","VeryEvilPettingZoo",305
"14","fynes leigh",297
"15","Blue",274
"16","Steve Dekker",267
"17","The Fat Theist",264
"18","Serge Mooyman",257
"19","Suspicious0bservers",253
"20","Luke Kerr",247
"21","Atomsk's Sanakan",241
"22","Bob Phin",239
"23","PrairleDoggedRez",227
"24","David Brace",216
"25","kim weaver",193
"26","5000Kone",184
"27","Andy Prosseda",167
"28","Mr Cabot",165
"29","Cameron Pangborn",158
"30","Franz Maier",152
"31","YTEdy",151
"32","Dale Ruff",139
"33","Dale Smith",139
"34","Rick TD",136
"35","Stormy Sampson",133
"36","James Clark",124
"37","Eric",119
"38","longliverocknroll5",118
"39","Zoe Phin",118
"40","davetileguy",117
"41","ApolloWasReal",112
"42","Aaron Kuhlman",110
"43","Guy Atkins",108
"44","Martin Hearn",107
"45","louiscypher1001",105
"46","Indio Side",100
"47","CAGW Scam",98
"48","James Robert Clark",98
"49","Georg Spengler",96
"50","Jenn smith",96
"51","Sean Hollingsworth",96
"52","vidfreak56",96
"53","paul smith",92
"54","Jon Wo",91
"55","Gladescat",89
"56","Leehamism",88
"57","Jeff Novack",86
"58","Ródrigo",86
"59","thinkerly1",85
"60","Bob Judd",84
"61","LIBERAL NPC",84
"62","R. E. Heubel",84
"63","I Vuz Gassed Six, No, Twelve Times!",82
"64","pale blue dot",81
"65","Crystal Giddens",80
"66","Double D",80
"67","Tom B",80
"68","Arion Erron",76
"69","snuffeldjuret",75
"70","iAwakeCA",74
"71","Uzziya",72
"72","Hl A",71
"73","MauriatOttolink",71
"74","Him Bike",70
"75","Crazyworld Larue",69
"76","Going To Getugly",69
"77","Stephen Nielsen",68
"78","Thomas Cha",67
"79","橋本絵莉子",66
"80","James Brice",66
"81","sabin97",66
"82","xchopp",66
"83","C_R_O_M__________",64
"84","Timothy E Hook",64
"85","remake it",62
"86","StormSignal",62
"87","Alex Ocasio-Gomez",61
"88","demigodzilla",61
"89","paul mortimer",61
"90","Scott Wallace",61
"91","CiPhEr505",60
"92","RedXlV",60
"93","Kyn Chan",59
"94","Pragmatism Pugilism",58
"95","zdcyclops1 lickley",58
"96","Chris Thompson",56
"97","Lucian MacAndrew",56
"98","owen suppes",56
"99","Tom Franklin",56
"100","Avatar BoB",55
